run_id,run_start_date,unit_label,group_label,y_bin_observed,p_high,y_bin_pred,misclass_flag,near_boundary_flag,strong_contradiction_flag,mdistance_z,iso_anomaly_z,input_anomaly_score_z,confidence,contextual_anomaly_score
RUN_051,2025-06-05,GR03,group_1,0,0.19766666666666666,0,0,0,0,-0.21731636726152886,0.14444923773979873,-0.03643356476086507,0.30233333333333334,0.0573665509529008
RUN_071,2025-08-04,GR05,group_2,0,0.17343333333333333,0,0,0,0,-0.25870863145193357,0.07719722553045535,-0.0907557029607391,0.32656666666666667,0.036263815186297114
RUN_002,2025-01-09,GR02,group_2,1,0.759352380952381,1,0,0,0,-0.25082733097954074,0.12665771594298658,-0.06208480751827708,0.259352380952381,0.03379569147895671
RUN_078,2025-08-25,GR06,group_3,0,0.27986666666666665,0,0,0,0,-0.28057990723471943,0.14974099856499942,-0.06541945433486,0.22013333333333335,0.022323606165903336
RUN_021,2025-03-07,GR03,group_1,1,0.8088666666666666,1,0,0,0,-0.4296266637795263,0.13873756508597368,-0.1454445493467763,0.3088666666666666,0.0044943919932785015
RUN_099,2025-10-27,GR03,group_2,0,0.3668761904761904,0,0,0,0,-0.17717733117930787,0.00753864970669613,-0.08481934073630587,0.1331238095238096,-0.009128717987200538
RUN_038,2025-04-27,GR02,group_2,1,0.6377666666666664,1,0,0,0,-0.2833754698908724,0.07234192143686397,-0.10551677422700423,0.13776666666666637,-0.01831672044683552
RUN_046,2025-05-21,GR04,group_3,0,0.3745142857142857,0,0,0,0,-0.3265039809914822,0.11825445102044334,-0.10412476498551942,0.1254857142857143,-0.020690953921331134
RUN_100,2025-10-30,GR04,group_2,1,0.5944380952380952,1,0,1,0,-0.0652672599242982,-0.1252853314717105,-0.09527629569800436,0.09443809523809521,-0.024028624039478377
RUN_056,2025-06-20,GR02,group_3,0,0.22926190476190478,0,0,0,0,-0.271024333808487,-0.11247874760394459,-0.1917515407062158,0.2707380952380952,-0.028191246543584098
RUN_004,2025-01-15,GR04,group_2,1,0.8974666666666667,1,0,0,0,-0.11932226339477109,-0.3914640315795747,-0.2553931474871729,0.39746666666666675,-0.028329907076919764
RUN_050,2025-06-02,GR02,group_2,0,0.22469999999999998,0,0,0,0,-0.4515168440078184,0.05286845115943013,-0.19932419642419413,0.2753,-0.03083709821209707
RUN_055,2025-06-17,GR01,group_1,0,0.10679047619047623,0,0,0,0,-0.3994857009553335,-0.13237291177075794,-0.2659293063630457,0.3932095238095238,-0.034662272229141894
RUN_018,2025-02-26,GR06,group_2,1,0.8338333333333334,1,0,0,0,-0.3806072145751527,-0.11120152743902045,-0.24590437100708656,0.3338333333333334,-0.039493852170209925
RUN_075,2025-08-16,GR03,group_2,0,0.1727952380952381,0,0,0,0,-0.3166401650958782,-0.1744012872642121,-0.24552072618004517,0.3272047619047619,-0.04095917261383211
RUN_083,2025-09-09,GR05,group_1,0,0.17416666666666666,0,0,0,0,-0.10540992219499237,-0.39015519413735467,-0.2477825581661735,0.3258333333333333,-0.042432945749753426
RUN_048,2025-05-27,GR06,group_3,0,0.34309999999999996,0,0,0,0,-0.30403224082426744,-0.05801771826547269,-0.18102497954487007,0.15690000000000004,-0.051287489772435024
RUN_120,2025-12-29,GR06,group_2,1,0.8368857142857142,1,0,0,0,-0.41927865325484465,-0.12803430143279493,-0.2736564773438198,0.33688571428571423,-0.05260681010048135
RUN_108,2025-11-23,GR06,group_1,1,0.7149000000000001,1,0,0,0,-0.3653198535081329,-0.07542279427081618,-0.22037132388947453,0.2149000000000001,-0.05646066194473724
RUN_070,2025-08-01,GR04,group_3,0,0.055900000000000005,0,0,0,0,-0.4696527709195996,-0.23017917140465827,-0.3499159711621289,0.4441,-0.06393298558106446
RUN_114,2025-12-11,GR06,group_3,1,0.6686761904761903,1,0,0,0,-0.3312277713577265,-0.09463400932154996,-0.21293089033963825,0.1686761904761903,-0.06429639755077154
RUN_009,2025-01-30,GR03,group_1,1,0.7475666666666668,1,0,0,0,-0.26849894889567566,-0.24564276358392634,-0.25707085623980097,0.24756666666666682,-0.06664376145323378
RUN_087,2025-09-21,GR03,group_2,0,0.2476,0,0,0,0,-0.3892392262342606,-0.24140571635324928,-0.31532247129375496,0.2524,-0.09456123564687748
RUN_095,2025-10-15,GR05,group_1,1,0.5715761904761906,1,0,1,0,-0.3943683276637077,-0.0747511081967798,-0.23455971793024377,0.07157619047619057,-0.09938581134607424
RUN_019,2025-03-01,GR01,group_2,1,0.9138428571428571,1,0,0,0,-0.43743171629757355,-0.46763764322188417,-0.45253467975972883,0.41384285714285707,-0.12280662559415015
RUN_047,2025-05-24,GR05,group_1,0,0.4608666666666666,0,0,1,0,-0.3062567186685862,-0.24244464720723954,-0.27435068293791287,0.03913333333333341,-0.12739200813562307
RUN_033,2025-04-12,GR03,group_2,1,0.6945619047619049,1,0,0,0,-0.4777695760943733,-0.22817815973827746,-0.3529738679163254,0.19456190476190494,-0.12784645776768647
RUN_090,2025-09-30,GR06,group_2,0,0.2020333333333333,0,0,0,0,-0.3902064266276347,-0.49948110533731804,-0.4448437659824764,0.2979666666666667,-0.1479302163245715
RUN_030,2025-04-03,GR06,group_2,1,0.6853666666666668,1,0,0,0,-0.4378485638001893,-0.3760694483044135,-0.4069590060523014,0.1853666666666668,-0.157137836359484
RUN_037,2025-04-24,GR01,group_2,1,0.6599333333333334,1,0,0,0,-0.3235363444398287,-0.5497646917400805,-0.4366505180899546,0.15993333333333337,-0.17834192571164395
RUN_068,2025-07-26,GR02,group_1,0,0.20855714285714289,0,0,0,0,-0.49325093461184144,-0.5320344729253509,-0.5126427037685961,0.2914428571428571,-0.18346063759858378
RUN_057,2025-06-23,GR03,group_1,0,0.23701428571428573,0,0,0,0,-0.5572376785674857,-0.4648455257301773,-0.5110416021488315,0.26298571428571427,-0.1897743725029872
RUN_045,2025-05-18,GR03,group_1,0,0.4654333333333335,0,0,1,0,-0.46381497955773826,-0.33954100374431234,-0.4016779916510253,0.03456666666666652,-0.19219732915884602
RUN_074,2025-08-13,GR02,group_2,0,0.23329999999999998,0,0,0,0,-0.45735631334834875,-0.700355607748933,-0.5788559605486409,0.26670000000000005,-0.22275298027432042
RUN_066,2025-07-20,GR06,group_3,0,0.16263333333333332,0,0,0,0,-0.5917688786667303,-0.6513685184814587,-0.6215686985740945,0.3373666666666667,-0.22644268262038056
RUN_028,2025-03-28,GR04,group_3,1,0.8361,1,0,0,0,-0.47447591185875015,-0.8058983210795838,-0.640187116469167,0.33609999999999995,-0.23606855823458353
RUN_007,2025-01-24,GR01,group_3,1,0.8396000000000001,1,0,0,0,-0.6660987016239623,-0.6433884333445687,-0.6547435674842655,0.3396000000000001,-0.24247178374213274
RUN_105,2025-11-14,GR03,group_2,1,0.7483761904761905,1,0,0,0,-0.5076990420494877,-0.7167048863709227,-0.6122019642102052,0.24837619047619053,-0.24400693448605498
RUN_015,2025-02-17,GR03,group_2,1,0.7976976190476192,1,0,0,0,-0.55562101177545,-0.7683820401079655,-0.6620015259417078,0.29769761904761916,-0.2565763582089491
RUN_102,2025-11-05,GR06,group_2,1,0.5899666666666668,1,0,1,0,-0.524953579270933,-0.5938248945740194,-0.5593892369224762,0.08996666666666675,-0.2572029517945714
RUN_058,2025-06-26,GR04,group_2,0,0.2509,0,0,0,0,-0.6872310490457109,-0.6487208391039689,-0.6679759440748398,0.2491,-0.27171297203741995
RUN_054,2025-06-14,GR06,group_3,0,0.30648571428571425,0,0,0,0,-0.602383914324095,-0.6792021827475233,-0.6407930485358091,0.19351428571428575,-0.2720179528393331
